﻿Page,Location,Text,Update
404.html,Title,Preznt - 404 Not Found,
404.html,Scripts,The page you're looking for may have been moved or no longer exists. Use the button below to return to our homepage or contact us if you need assistance.,
404.html,Scripts,404,
404.html,Scripts,Oops... Page Not Found!,
404.html,Header,Login,
404.html,Header,Get Started,
404.html,Scripts,Back To Home,
404.html,Header,Homepage,
404.html,Header,Services,
404.html,Header,Service Details,
404.html,Header,About,
404.html,Header,About Us,
404.html,Header,Team,
404.html,Header,Contact Us,
404.html,Header,FAQs,
404.html,Header,Image Upload,
404.html,Header,For Providers,
404.html,Header,New Providers,
404.html,Header,Provider Portal,
404.html,Body,Preznt - 404 Not Found Homepage,
404.html,Header,Services Services,
404.html,Header,About About Us,
404.html,Header,For Providers New Providers,
about.html,Title,Pharmed - About Us,
about.html,Section About Us,"At our pharmacy, we are dedicated to providing top-notch healthcare solutions with a focus on quality, safety, and personalized care.",
about.html,Section About Us,"To be the trusted compounding partner for healthcare providers, delivering precision formulations and clinical support that improve patient care and outcomes.",
about.html,Section About Us,"To provide 503A compounding excellence with USP 797 and 795 compliance, responsive service, and collaborative relationships with prescribers and their patients.",
about.html,Section About Us,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
about.html,Section About Us,Important Notice:,
about.html,Section About Us,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
about.html,Section About Us,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
about.html,Banner,About Us,
about.html,Section About Us,Healthcare Solutions for a Healthier Tomorrow,
about.html,Section About Us,Our Vision,
about.html,Section About Us,Our Mission,
about.html,Section About Us,Address,
about.html,Section About Us,Contact Us,
about.html,Header,Login,
about.html,Header,Get Started,
about.html,Section About Us,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
about.html,Section About Us,555-555-5555,
about.html,Section About Us,dev@mythic-rx.com,
about.html,Section About Us,Copyright © 2025 Mythic Rx. All Rights Reserved.,
about.html,Header,Homepage,
about.html,Header,Services,
about.html,Header,Service Details,
about.html,Header,About,
about.html,Header,Team,
about.html,Header,FAQs,
about.html,Header,Image Upload,
about.html,Header,For Providers,
about.html,Header,New Providers,
about.html,Header,Provider Portal,
about.html,Body,Pharmed - About Us Homepage,
about.html,Header,Services Services,
about.html,Header,About About Us,
about.html,Header,For Providers New Providers,
blog.html,Title,Pharmed - Latest Article,
blog.html,Blog,"Stay informed with compounding updates, clinical tips, and news from Mythic Rx. We share guidance for prescribers and practices to support better patient outcomes.",
blog.html,Blog,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
blog.html,Blog,Important Notice:,
blog.html,Blog,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
blog.html,Blog,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
blog.html,Banner,Latest Article,
blog.html,Blog,News and Updates For You,
blog.html,Blog,Address,
blog.html,Blog,Contact Us,
blog.html,Blog,Medication Adherence: Innovative Programs Helping Patients Stay on Track,
blog.html,Blog,Innovations in Pain Management: Alternatives to Opioids in Modern Pharmacy,
blog.html,Blog,Health Tech: How Devices Are Shaping Medication Monitoring and Management,
blog.html,Blog,Blockchain in Healthcare: Ensuring Secure Patient Data & Medication Tracking,
blog.html,Blog,The Future of Pharmacogenomics: Personalizing Medicine for Better Outcomes,
blog.html,Blog,Understanding the Opioid Crisis: The Role of Pharmacists in Prevention and Treatment,
blog.html,Header,Login,
blog.html,Header,Get Started,
blog.html,Blog,News,
blog.html,Blog,Article,
blog.html,Blog,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
blog.html,Blog,555-555-5555,
blog.html,Blog,dev@mythic-rx.com,
blog.html,Blog,Copyright © 2025 Mythic Rx. All Rights Reserved.,
blog.html,Header,Homepage,
blog.html,Header,Services,
blog.html,Header,Service Details,
blog.html,Header,About,
blog.html,Header,About Us,
blog.html,Header,Team,
blog.html,Header,FAQs,
blog.html,Header,Image Upload,
blog.html,Header,For Providers,
blog.html,Header,New Providers,
blog.html,Header,Provider Portal,
blog.html,Body,Pharmed - Latest Article Homepage,
blog.html,Header,Services Services,
blog.html,Header,About About Us,
blog.html,Header,For Providers New Providers,
contact.html,Title,Pharmed - Contact Us,
contact.html,Section Contact,"Whether you need prescription refills, medical advice, or personalized care, our expert team is dedicated to supporting your health and well-being.",
contact.html,Section Maps,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
contact.html,Section Maps,Important Notice:,
contact.html,Section Maps,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
contact.html,Section Maps,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
contact.html,Banner,Contact Us,
contact.html,Section Contact,Our Pharmacy & Healthcare Team is Here to Help,
contact.html,Section Maps,Our Location,
contact.html,Section Maps,Address,
contact.html,Header,Login,
contact.html,Header,Get Started,
contact.html,Section Contact,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
contact.html,Section Contact,555-555-5555,
contact.html,Section Contact,dev@mythic-rx.com,
contact.html,Section Maps,Copyright © 2025 Mythic Rx. All Rights Reserved.,
contact.html,Header,Homepage,
contact.html,Header,Services,
contact.html,Header,Service Details,
contact.html,Header,About,
contact.html,Header,About Us,
contact.html,Header,Team,
contact.html,Header,FAQs,
contact.html,Header,Image Upload,
contact.html,Header,For Providers,
contact.html,Header,New Providers,
contact.html,Header,Provider Portal,
contact.html,Body,Pharmed - Contact Us Homepage,
contact.html,Header,Services Services,
contact.html,Header,About About Us,
contact.html,Header,For Providers New Providers,
faq.html,Title,Pharmed - FAQs,
faq.html,FAQs,"This FAQ section addresses common questions regarding compounding pharmacy services, quality standards, shipping, and clinical collaboration. It covers essential topics for healthcare providers.",
faq.html,Section CTA,"Our team is here to guide you, answer your questions, and support your wellness goaals every step of the way. Start now!",
faq.html,Section Get Started,"Providing personalized, compassionate healthcare that focuses on improving overall well-being.",
faq.html,Section Get Started,"incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex.",
faq.html,Section Get Started,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
faq.html,Section Get Started,Important Notice:,
faq.html,Section Get Started,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
faq.html,Section Get Started,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
faq.html,Banner,FAQs,
faq.html,FAQs,01. What compounding services do you offer for healthcare providers?,
faq.html,FAQs,02. How do you ensure quality and compliance with USP standards?,
faq.html,FAQs,03. What is your typical turnaround time for compounded prescriptions?,
faq.html,FAQs,04. How can physicians submit prescriptions to your pharmacy?,
faq.html,FAQs,05. Do you offer pharmacist consultation for complex formulations?,
faq.html,FAQs,06. What states are you licensed to serve?,
faq.html,FAQs,07. What shipping options do you offer for compounded medications?,
faq.html,FAQs,08. Can you compound medications with custom concentrations or formulations?,
faq.html,FAQs,09. What documentation do you provide with compounded prescriptions?,
faq.html,FAQs,10. How do you handle prescription refills for ongoing patient care?,
faq.html,FAQs,Frequently Asked Questions,
faq.html,Section CTA,Get Started on Your Health Journey Today,
faq.html,Section Get Started,Opportunities Through Health Care Provider,
faq.html,Section Get Started,Fill This Form to Became Our Member,
faq.html,Section Get Started,Free Medication Delivery,
faq.html,Section Get Started,Get Free Consultations,
faq.html,Section Get Started,15% Off Three Months,
faq.html,Section Get Started,Address,
faq.html,Section Get Started,Contact Us,
faq.html,Header,Login,
faq.html,Header,Get Started,
faq.html,Section Get Started,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
faq.html,Section Get Started,555-555-5555,
faq.html,Section Get Started,dev@mythic-rx.com,
faq.html,Section Get Started,Copyright © 2025 Mythic Rx. All Rights Reserved.,
faq.html,Header,Homepage,
faq.html,Header,Services,
faq.html,Header,Service Details,
faq.html,Header,About,
faq.html,Header,About Us,
faq.html,Header,Team,
faq.html,Header,Image Upload,
faq.html,Body,Pharmed - FAQs Homepage,
faq.html,Header,Services Services,
faq.html,Header,About About Us,
get-started.html,Title,Pharmed - Get Started,
get-started.html,Section Get Started,"Providing personalized, compassionate healthcare that focuses on improving overall well-being.",
get-started.html,Section Get Started,Complimentary delivery of compounded medications to your clinic or practice location. We coordinate shipping to ensure timely receipt and proper handling of temperature-sensitive formulations.,
get-started.html,Section Get Started,"Our compounding pharmacists are available to answer clinical questions, discuss formulation options, and support your practice with no-cost consultation for healthcare providers.",
get-started.html,Section Get Started,New provider partners receive 15% off compounded medications for the first three months. Contact us to establish your account and start saving on precision formulations.,
get-started.html,Section Get Started,"Read personal stories of satisfaction, improved health, and exceptional care from those who trust us with their wellness.",
get-started.html,Slides,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
get-started.html,Slides,Important Notice:,
get-started.html,Slides,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
get-started.html,Slides,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
get-started.html,Banner,Get Started,
get-started.html,Section Get Started,Opportunities Through Health Care Provider,
get-started.html,Section Get Started,Let's Hear What They Say About Us,
get-started.html,Slides,Fill This Form to Get Started,
get-started.html,Section Get Started,Free Medication Delivery,
get-started.html,Section Get Started,Get Free Consultations,
get-started.html,Section Get Started,15% Off Three Months,
get-started.html,Slides,Gracia Agnez,
get-started.html,Slides,Muguel Adam,
get-started.html,Slides,Robert Anderson,
get-started.html,Slides,Address,
get-started.html,Slides,Contact Us,
get-started.html,Header,Login,
get-started.html,Slides,"""Exceptional service and care! The pharmacists here always go above and beyond to make sure I understand my medications and provide valuable advice. They truly care about my health.""",
get-started.html,Slides,Designation,
get-started.html,Slides,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
get-started.html,Slides,555-555-5555,
get-started.html,Slides,dev@mythic-rx.com,
get-started.html,Slides,Copyright © 2025 Mythic Rx. All Rights Reserved.,
get-started.html,Header,Homepage,
get-started.html,Header,Services,
get-started.html,Header,Service Details,
get-started.html,Header,About,
get-started.html,Header,About Us,
get-started.html,Header,Team,
get-started.html,Header,FAQs,
get-started.html,Header,Image Upload,
get-started.html,Header,For Providers,
get-started.html,Header,New Providers,
get-started.html,Header,Provider Portal,
get-started.html,Body,Pharmed - Get Started Homepage,
get-started.html,Header,Services Services,
get-started.html,Header,About About Us,
get-started.html,Header,For Providers New Providers,
image-review.html,Title,Mythic Rx - Image Upload,
image-review.html,Upload Section,Click to upload or drag and drop,
image-review.html,Upload Section,"PNG, JPG, JPEG up to 10MB each",
image-review.html,Footer,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
image-review.html,Footer,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
image-review.html,Footer,Phone: 555-555-5555,
image-review.html,Footer,Email: dev@mythic-rx.com,
image-review.html,Footer,"Licensed in: UT, ID, AZ, CO, WY, HI",
image-review.html,Footer,© 2024 Mythic Rx. All rights reserved.,
image-review.html,Footer,Compliance Notice:,
image-review.html,Footer,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
image-review.html,Footer,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
image-review.html,Banner,Image Upload,
image-review.html,Upload Section,Upload New Images,
image-review.html,Footer,Quick Links,
image-review.html,Footer,Services,
image-review.html,Footer,Contact Info,
image-review.html,Header,Login,
image-review.html,Header,Get Started,
image-review.html,Upload Section,Upload Images,
image-review.html,Header,Homepage,
image-review.html,Header,Service Details,
image-review.html,Header,About,
image-review.html,Header,About Us,
image-review.html,Header,Team,
image-review.html,Header,Contact Us,
image-review.html,Header,FAQs,
image-review.html,Header,For Providers,
image-review.html,Header,New Providers,
image-review.html,Header,Provider Portal,
image-review.html,Footer,Custom Compounding,
image-review.html,Footer,Sterile Formulations,
image-review.html,Footer,Secure Shipping,
image-review.html,Footer,Privacy Policy,
image-review.html,Footer,Terms of Service,
image-review.html,Body,Mythic Rx - Image Upload Homepage,
image-review.html,Header,Services Services,
image-review.html,Header,About About Us,
image-review.html,Header,For Providers New Providers,
image-review.html,Tabs Navigation,Pending Review,
image-review.html,Tabs Navigation,Possible Updates,
image-review.html,Tabs Navigation,Banners,
image-review.html,Tabs Navigation,Logos,
image-review.html,Tabs Navigation,Team Photos,
image-review.html,Tabs Navigation,Facility Photos,
image-review.html,Upload Section,Select Images,
image-review.html,Upload Section,Category,
index.html,Title,Mythic Rx - Precision Compounding for Progressive Clinics,
index.html,Where Apothecary Section,Mythic Rx is a 503A licensed compounding pharmacy specializing in custom sterile and non-sterile formulations. We partner with progressive clinics to deliver precision compounding with fast turnaround times and collaborative pharmacist support.,
index.html,Navigation arrows (on top of everything),"We're more than a compounding pharmacy—we're your clinical partner. With USP-compliant facilities, trained pharmacists, and a commitment to transparency, we deliver precision formulations that support your practice and your patients.",
index.html,Navigation arrows (on top of everything),"Access your clinic account, submit prescriptions, and track orders.",
index.html,Navigation arrows (on top of everything),Our compounding pharmacists are available to discuss formulations and answer clinical questions.,
index.html,Section CTA,"Our team is here to support your practice, answer your questions, and collaborate on custom formulations that meet your clinical protocols. Get started today.",
index.html,Section Sevices,"Specialized sterile and non-sterile compounding with custom concentrations, pH optimization, and preservative-free options tailored to your clinical protocols.",
index.html,Section Sevices,"To be the trusted compounding partner for progressive clinics, where precision meets compassion, and every formulation is crafted with scientific rigor and apothecary care.",
index.html,Section Sevices,"We deliver custom sterile and non-sterile compounding with unwavering commitment to quality, safety, and clinical collaboration. Every prescription is prepared with precision for individual patient needs.",
index.html,Section Sevices,"pH-optimized and osmolality-balanced sterile formulations for injections, peptides, and hormone therapy with reduced irritation and improved patient comfort.",
index.html,Section Sevices,"Tailored formulation strengths designed for your specific clinical protocols, with preservative or preservative-free options and custom diluents based on your preferences.",
index.html,Section Sevices,"Reliable cold-chain shipping to clinics across Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Fast turnaround times with order tracking and direct pharmacist communication.",
index.html,Team,"Our team of certified, USP-trained pharmacists brings decades of combined experience in sterile and non-sterile compounding. We're committed to precision, safety, and collaborative partnership with your practice.",
index.html,FAQs,"This FAQ section addresses common questions regarding compounding pharmacy services, quality standards, shipping, and clinical collaboration. It covers essential topics for healthcare providers.",
index.html,Section Location,"Mythic Rx is licensed to dispense custom compounded medications to healthcare providers in Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii, with additional states coming soon.",
index.html,Blog,"Stay informed with the latest developments in pharmaceutical compounding, quality standards, and clinical best practices from our expert pharmacists.",
